"","X","Date","Open","High","Low","Close","Volume","day"
"329",329,"05/01/1997",801.3401,851.8699,793.21,848.2798,221,1997-05-01
"330",330,"06/02/1997",848.28,902.0898,838.8198,885.1399,227,1997-06-02
"331",331,"07/01/1997",885.1399,957.73,884.5398,954.2898,259,1997-07-01
"332",332,"08/01/1997",954.29,964.1699,893.3398,899.47,242,1997-08-01
"333",333,"09/02/1997",899.47,960.5898,899.47,947.2798,243,1997-09-02
"334",334,"10/01/1997",950.9199,983.1199,855.2698,914.6199,315,1997-10-01
"335",335,"11/03/1997",914.6201,964.5498,900.6099,955.3999,222,1997-11-03
"336",336,"12/01/1997",955.3999,986.25,924.9199,970.4299,263,1997-12-01
"337",337,"01/02/1998",970.4299,992.6499,912.8298,980.2798,279,1998-01-02
"338",338,"02/02/1998",980.28,1051.6599,980.2798,1049.3398,253,1998-02-02
"339",339,"03/02/1998",1049.3401,1113.0701,1030.8699,1101.75,301,1998-03-02
"340",340,"04/01/1998",1101.75,1132.98,1076.6999,1111.75,295,1998-04-01
"341",341,"05/01/1998",1111.75,1130.52,1074.3899,1090.8198,248,1998-05-01
"342",342,"06/01/1998",1090.8201,1145.1499,1074.6699,1133.8398,299,1998-06-01
"343",343,"07/01/1998",1133.8401,1190.5801,1114.2998,1120.6699,327,1998-07-01
"344",344,"08/03/1998",1120.6699,1121.79,957.2798,957.2798,351,1998-08-03
"345",345,"09/01/1998",957.28,1066.1101,939.98,1017.0098,388,1998-09-01
"346",346,"10/01/1998",1017.01,1103.78,923.3198,1098.6699,442,1998-10-01
"347",347,"11/02/1998",1098.6699,1192.97,1098.6699,1163.6299,312,1998-11-02
"348",348,"12/01/1998",1163.6299,1244.9299,1136.8899,1229.23,337,1998-12-01
"349",349,"01/04/1999",1229.23,1280.3701,1205.46,1279.6399,392,1999-01-04
"350",350,"02/01/1999",1279.6399,1283.8401,1211.8899,1238.3298,359,1999-02-01
"351",351,"03/01/1999",1238.3301,1323.8201,1216.0298,1286.3699,438,1999-03-01
"352",352,"04/01/1999",1286.3701,1371.5601,1282.5598,1335.1799,457,1999-04-01
"353",353,"05/03/1999",1335.1799,1375.98,1277.3098,1301.8398,389,1999-05-03
"354",354,"06/01/1999",1301.8401,1372.9299,1277.47,1372.71,386,1999-06-01
"355",355,"07/01/1999",1372.71,1420.3301,1328.49,1328.72,374,1999-07-01
"356",356,"08/02/1999",1328.72,1382.8401,1267.73,1320.4099,400,1999-08-02
"357",357,"09/01/1999",1320.4099,1361.3501,1256.2598,1282.71,422,1999-09-01
"358",358,"10/01/1999",1282.71,1373.1699,1233.6999,1362.9299,492,1999-10-01
"359",359,"11/01/1999",1362.9299,1425.3101,1346.4099,1388.9099,475,1999-11-01
"360",360,"12/01/1999",1388.9099,1473.1299,1387.48,1469.25,516,1999-12-01
"361",361,"01/03/2000",1469.25,1478,1350.1399,1394.46,609,2000-01-03
"362",362,"02/01/2000",1394.46,1444.3799,1325.0198,1366.4199,565,2000-02-01
"363",363,"03/01/2000",1366.4199,1553.1101,1346.5,1498.5798,735,2000-03-01
"364",364,"04/03/2000",1498.5801,1527.1101,1339.3999,1452.4299,659,2000-04-03
"365",365,"05/01/2000",1452.4299,1481.4299,1361.1999,1420.5999,590,2000-05-01
"366",366,"06/01/2000",1420.6001,1488.98,1420.5999,1454.5999,604,2000-06-01
"367",367,"07/03/2000",1454.6001,1517.24,1414.1599,1430.8298,558,2000-07-03
"368",368,"08/01/2000",1430.8301,1525.3001,1426.0498,1517.6799,605,2000-08-01
"369",369,"09/01/2000",1517.6799,1530.01,1419.5398,1436.5098,667,2000-09-01
"370",370,"10/02/2000",1436.52,1454.8201,1305.7898,1429.3999,974,2000-10-02
"371",371,"11/01/2000",1429.3999,1438.46,1294.8999,1314.9499,736,2000-11-01
"372",372,"12/01/2000",1314.9499,1389.0501,1254.0698,1320.2798,761,2000-12-01
"373",373,"01/02/2001",1320.28,1383.3701,1274.6199,1366.0098,964,2001-01-02
"374",374,"02/01/2001",1366.01,1376.3799,1215.4399,1239.9399,820,2001-02-01
"375",375,"03/01/2001",1239.9399,1267.4199,1081.1899,1160.3298,1161,2001-03-01
"376",376,"04/02/2001",1160.3301,1269.3001,1091.99,1249.46,1052,2001-04-02
"377",377,"05/01/2001",1249.46,1315.9299,1232,1255.8198,811,2001-05-01
"378",378,"06/01/2001",1255.8201,1286.6201,1203.0298,1224.4199,768,2001-06-01
"379",379,"07/02/2001",1224.4199,1239.78,1165.5398,1211.23,754,2001-07-02
"380",380,"08/01/2001",1211.23,1226.27,1124.8699,1133.5798,742,2001-08-01
"381",381,"09/04/2001",1133.5801,1155.3999,944.75,1040.9399,849,2001-09-04
"382",382,"10/01/2001",1040.9399,1110.6101,1026.7598,1059.7798,1022,2001-10-01
"383",383,"11/01/2001",1059.78,1163.3799,1054.3098,1139.4499,902,2001-11-01
"384",384,"12/03/2001",1139.4499,1173.6201,1114.5,1148.0798,809,2001-12-03
"385",385,"01/02/2002",1148.0801,1176.97,1081.6599,1130.1999,963,2002-01-02
"386",386,"02/01/2002",1130.1999,1130.1999,1074.3599,1106.73,891,2002-02-01
"387",387,"03/01/2002",1106.73,1173.8899,1106.73,1147.3899,896,2002-03-01
"388",388,"04/01/2002",1147.3899,1147.75,1063.5598,1076.9199,975,2002-04-01
"389",389,"05/01/2002",1076.9199,1106.5901,1049.0598,1067.1399,946,2002-05-01
"390",390,"06/03/2002",1067.1399,1070.6599,953.0798,989.8198,985,2002-06-03
"391",391,"07/01/2002",989.8201,994.3501,775.96,911.6199,1280,2002-07-01
"392",392,"08/01/2002",911.6201,964.8401,833.4399,916.0698,952,2002-08-01
"393",393,"09/03/2002",916.0701,923.98,800.2598,815.2798,909,2002-09-03
"394",394,"10/01/2002",815.28,907.51,768.6699,885.7698,1232,2002-10-01
"395",395,"11/01/2002",885.76,941.8198,872.1599,936.3101,983,2002-11-01
"396",396,"12/02/2002",936.3101,954.3201,869.4299,879.8198,807,2002-12-02
"397",397,"01/02/2003",879.8201,935.0601,840.2798,855.6999,964,2003-01-02
"398",398,"02/03/2003",855.6999,864.6699,806.3198,841.1499,767,2003-02-03
"399",399,"03/03/2003",841.1499,895.8899,788.9399,848.1799,938,2003-03-03
"400",400,"04/01/2003",848.1799,924.24,847.9499,916.9199,909,2003-04-01
"401",401,"05/01/2003",916.9199,965.1101,812.3799,963.5898,963,2003-05-01
"402",402,"06/02/2003",971.1299,1015.26,963.5898,974.5,979,2003-06-02
